S. No.,Code,Name ,Type
147,1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post,Villupuram District 605601",PRIVATE COLLEGES
148,1437,"Rrase College of Engineering, Padappai, Chennai 601301",PRIVATE COLLEGES
149,1438,"Sree Krishna College of Engineering, Anaicut Post, Unnai Village,Vellore District 632101",PRIVATE COLLEGES
150,1441,"A K T Memorial College of Engineering and Technology,Neelamangalam Village, Kallakurichi District 606202",PRIVATE COLLEGES
151,1442,"Prince Dr. K Vasudevan College of Engineering and Technology,Medavakkam-Mambakkam Road, Ponmar, Chennai 600048",PRIVATE COLLEGES
152,1444,"Chendu College of Engineering & Technology, Zamin EndathurVillage, Madurantakam Taluk, Chengalpattu District 603331",PRIVATE COLLEGES
153,1445,"Sri Rangapoopathi College of Engineering, Alampoondi Village,Gingee, Villupuram District 604151",PRIVATE COLLEGES
154,1447,"Jawahar Engineering College, Kaveri Rangan Nagar, Saligramam,Chennai 600093",PRIVATE COLLEGES
155,1449,"Saraswathy College of Engineering and Technology, NH-45, MainRoad, Olakkur, Tindivanam Taluk, Villupuram District 604307",PRIVATE COLLEGES
156,1450,"Loyola-ICAM College of Engineering and Technology, Loyola CollegeCampus, Nungambakkam, Chennai 600034",PRIVATE COLLEGES
157,1452,"PERI Institute of Technology, Mannivakkam, West Tambaram,Chennai 600048",PRIVATE COLLEGES
158,1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District632506",PRIVATE COLLEGES
159,1503,"Arulmigu Meenakshi Amman College of Engineering,Vadamavandal,Thiruvannamalai District 604410",PRIVATE COLLEGES
160,1504,"Arunai Engineering College, Mathur, Thiruvannamalai District606603",PRIVATE COLLEGES
161,1505,"C Abdul Hakeem College of Engineering and Technology,Melvisharam, Ranipet District 632509",PRIVATE COLLEGES
162,1507,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, VelloreDistrict 632102",PRIVATE COLLEGES
163,1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K KNagar (West), Chennai 600078",PRIVATE COLLEGES
164,1510,"Priyadarshini Engineering College, Vaniyambadi Post, ThiruppatturDistrict 635751",PRIVATE COLLEGES
165,1511,"Ranippettai Engineering College, Thenkadappanthangal, RanipetDistrict 632513",PRIVATE COLLEGES
166,1512,"S K P Engineering College, Thiruvannamalai District 606611",PRIVATE COLLEGES
167,1513,"Sri Balaji Chockalingam Engineering College, Arni, ThiruvannamalaiDistrict 632317",PRIVATE COLLEGES
168,1517,"Thirumalai Engineering College, Kilambi, Kancheepuram District631551",PRIVATE COLLEGES
169,1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi,Thiruvannamalai District 604505",PRIVATE COLLEGES
170,1519,"Bharathidasan Engineering College, Nattrampalli Post, ThiruppathurDistrict 635854",PRIVATE COLLEGES
171,1520,"Kingston Engineering College, Chithoor Main Road, ChristianpetVillage, Katpadi Taluk, Vellore District 632059",PRIVATE COLLEGES
172,1523,"Global Institute of Engineering and Technology, Bangalore-ChennaiHighway, Melvisharam, Walajah Taluk, Ranipet District 632506",PRIVATE COLLEGES
173,1524,"Annamalaiar College of Engineering, Modaiyur Village, Polur Taluk,Thiruvannamalai District 606902",PRIVATE COLLEGES
174,1525,"Podhigai College of Engineering and Technology, Vinayakapuram,Adiyur Post, Tirupattur District 635601",PRIVATE COLLEGES
175,1526,"Sri Krishna College of Engineering, Tiruttani High Road, Arakkonam,Ranipet District 631003",PRIVATE COLLEGES
176,1529,"Oxford College of Engineering, Venmani Village, Karaipoondi Post,Polur Taluk, Thiruvannamalai District 606803",PRIVATE COLLEGES
177,1530,"Papni School of Architecture, 302/1, Keeranallur Village,Sriperunbudur Taluk, Kancheepuram District, Chennai 602108",PRIVATE COLLEGES
178,1532,Madha school of Architecture,PRIVATE COLLEGES
179,1605,"Idhaya Engineering College for Women, Chinnasalem, KallakkurichiDistrict 606201",PRIVATE COLLEGES
180,2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit IIVillage, Salem District 637302",PRIVATE COLLEGES
181,2314,"Muthayammal College of Engineering, Kakkaveri Post, NamakkalDistrict 637408",PRIVATE COLLEGES
182,2327,"N S N College of Engineering and Technology, Karur-Madurai NH7,Manalmedu, Karur District 639003",PRIVATE COLLEGES
183,2328,"K S R Institute for Engineering and Technology, Thokkavadi,Namakkal District 637215",PRIVATE COLLEGES
184,2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, CoimbatoreDistrict 641021",PRIVATE COLLEGES
185,2332,"Aishwarya College of Engineering and Technology, ErrattaikaraduParuvachi Post, Anthiyur (Via), Bhavani Taluk, Erode District 638312",PRIVATE COLLEGES
186,2338,"Asian College of Engineering and Technology, Asian College Road,Kondayampalayam, Near Saravanampatti, Coimbatore District641110",PRIVATE COLLEGES
187,2341,"Ganesh College of Engineering, Attur Main Road, Mettupatti, SalemDistrict 636111",PRIVATE COLLEGES
188,2342,"Sri Ranganathar Institute of Engineering and Technology, Thudialur-Kovilpalay Road, Coimbatore District 641110",PRIVATE COLLEGES
189,2344,"Kongu School of Architecture, Kongu Engineering College Campus,Perundurai Railway Station Road, Thoppupalayam Post, Perundurai,Erode District 638052",PRIVATE COLLEGES
190,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. toAirport), Omalur Taluk, Salem District 636309",PRIVATE COLLEGES
191,2346,"Shree Sathyam College of Engineering and Technology, NH-47,Manjakkalpatti, Kuppanur Post, Sankari Taluk, Salem District 637301",PRIVATE COLLEGES
192,2347,"AVS College of Technology, Attur Main Road, Near AVS College ofArts & Science, Chinnagoundapuram, Salem District 636106",PRIVATE COLLEGES
193,2348,"San Academy of Architecture, ACC Pirivu, Navakarai Post,Mavuthampathy Village, Walayar, Coimbatore District 641105",PRIVATE COLLEGES
194,2349,"Dhaanish Ahmed Institute of Technology, Pichanur Post, (Near K GChavadi), Coimbatore District 641105",PRIVATE COLLEGES
195,2350,"Jairupaa College of Engineering, Thottiapalayam, Kathankanni Post,Kangayam, Tiruppur District 641 604",PRIVATE COLLEGES
196,2354,"Pollachi Institute of Engineering and Technology, Main Road,Poosaripatti, Pollachi Taluk, Coimbatore District 642205",PRIVATE COLLEGES
197,2355,"Cheran College of Engineering, Karur-Coimbatore Main Road, NH-67,K.Paramathi Post, Aravakurichi Taluk, Karur District 639111",PRIVATE COLLEGES
198,2356,"Arulmurugan College of Engineering, Karvazhi Road, Thennilai Post,Karur District 639206",PRIVATE COLLEGES
199,2357,"V S B College of Engineering Technical Campus, Ealur Pirivu,Solavampalayam Post, Coimbatore District 642109",PRIVATE COLLEGES
200,2360,"Suguna College of Engineering, Kalappatti Road, Civil AerodromePost, Coimbatore District 641014",PRIVATE COLLEGES
201,2361,"Sasi Creative School of Archiecture, Pollachi Main Road,Myleripalayam, Coimbatore District 641032",PRIVATE COLLEGES
202,2364,"School Of Architecture Coimbatore Institute Of Engineering AndTechnology, Vellimalai Pattinam, Narasipuram Post,ThondamuthurVia,Coimbatore District 641109",PRIVATE COLLEGES
203,2365,"Nehru School of Architecture, 451-D, Palakkad Main Road,Kuniamuthur, Coimbatore District 641108",PRIVATE COLLEGES
204,2367,"Arjun College of Technology, Chettiyakkapalayam, Kinathukadavu,Coimbatore District 642120",PRIVATE COLLEGES
205,2372,"Park Institute of Architecture, Avinashi Road, NH-47, Kaniyur,Coimbatore District 641659",PRIVATE COLLEGES
206,2373,"Hindusthan School of Architecture, Othakkalmandabam Post,Coimbatore District 641032",PRIVATE COLLEGES
207,2376,"Rathinam School of Architecture, Rathinam Techzone CampusPollachi Road, Coimbatore District 641021",PRIVATE COLLEGES
208,2377,"PSG Institute of Technology and Applied Research, Avinashi Road,Neelambur, Coimbatore 641062",PRIVATE COLLEGES
209,2601,"Adhiyamaan College of Engineering (Autonomous), Hosur,Krishnagiri District 635109",PRIVATE COLLEGES
210,2602,"Annai Mathammal Sheela Enginereing College, Erumapatty Post,Namakkal District 637013",PRIVATE COLLEGES
211,2606,"Jayam College of Engineering and Technology, Nallanur Post,Dharmapuri District 636813",PRIVATE COLLEGES
212,2607,"K S Rangasamy College of Technology (Autonomous), Tiruchengode,Namakkal District 637215",PRIVATE COLLEGES
213,2608,"M Kumarasamy College of Engineering (Autonomous),Thalavapalayam, Karur District 639113",PRIVATE COLLEGES
214,2609,"Mahendra Engineering College (Autonomous), Mahendhirapuri,Mallasamudram, Namakkal District 637503",PRIVATE COLLEGES
215,2610,"Muthayammal Engineering College (Autonomous), Rasipuram,Namakkal District 637408",PRIVATE COLLEGES
